aanwijzing|tender
abdis|kepala asrama biarawati
abolisi|absolusi
abolisi|amnesti
abolisi|bebas
abolisi|belas kasih
abolisi|belas kasihan
abolisi|pemaafan
abolisi|pembebasan
abolisi|remisi
abolisi|peniadaan
abolisi|amnesti
abolisi|pemulihan
abolisi|grasi
abolisi|penghapusan
abonemen|subskripsi
abonemen|berlangganan
abonemen|langganan
abonemen|uang langganan
absolusi|pengampunan dosa
absolusi|pengampunan
absolut|mutlak
absolut|penuh
absolut|sepenuhnya
absolut|pasti
absolut|nyata
absolut|positif
absolut|tentu
absolut|sepenuh
absolut|sebetulnya
abstrak|mujarad
abstrak|ringkasan
abstrak|ikhtisar
abstrak|intisari
abstrak|niskala
abstrak|inti
mengabstrak|memisahkan
mengabstrak|memisah
mengabstrak|mengintisarikan
mengabstrak|mengikhtisarkan
accoord|setuju
adiksi|ketergantungan
adiksi|kecanduan
adiksi|ketagihan
adempauze|rehat
adempauze|istirahat
adempauze|berhenti sejenak
administrasi|pengaturan
administrasi|manajemen
administrasi|tata kelola
administrasi|tata usaha
administrasi|rezim
administrasi|pemerintahan
administrasi|tadbir
administrasi|ilmu pemerintahan
administrasi|pengelolaan
administrasi|penadbiran
administrasi|tata laksana
admiral|raja laut
admiral|laksamana
advis|saran
advis|advice
advis|nasihat
advis|nasehat
advis|anjuran
advis|petunjuk
advis|petuah
advis|wejangan
advis|penasihatan
advis|rembuk
advis|syur
advokat|adjuster
advokat|peguam
advokat|pembela hukum
advokat|pembela
advokat|penasihat hukum
advokat|pendamping
advokat|pengacara
advokat|pokrol
advokat|lawyer
advokat|hakim
advokat|jaksa
advokat|pengacara
afdeling|departemen
afdeling|seksi
afdeling|divisi
afdeling|bagian
afdruk|cetakan
afkir|ditolak
afkir|ditampik
afkir|tidak diterima
afspraak|janji lisan
afspraak|janjian
afspraak|kencan
afspraak|ketemuan
afspraak|janji
afspraak|penetapan
agenda|jadwal acara
agenda|jadwal
agenda|acara
agenda|rencana
agresi|serangan
agresi|penyerangan
agresif|giat
agresif|penuh inisiatif
ajun|asisten
ajun|pembantu
akademi|
akademis|
akademik|
aki|baterai
aktiva|harta
aktiva|aset
secara aktual|sesungguhnya
secara aktual|baru saja
aktual|masih baru
aktual|baru saja terjadi
aktual|baru
aktual|saat ini
aktual|terkini
aktual|kini
aliansi|ikatan pertemanan
aliansi|pertemanan
aliansi|persahabatan
aliansi|persekutuan
Aljazair|Algeria
ambah|kerajinan tangan
ambah|pertukangan
amnesti|
amprah|
ampul|botol kecil
anatomi|ilmu urai
anatomi|ilmu tasrih
andil|
angker|
angkar|
antik|
antusias|
apatis|
apartemen|
apartheid|
apel|epal
apel|upacara
aplaus|
apotek|farmasi
apoteker|peracik obat
apoteker|peracik
April|
arbei|stroberi
arde|bumi
arde|tanah
arde|
areal|
ares|hukuman
ares|penangkapan
ares|penahanan
arloji|jam tangan
arloji|jam kecil
arsip|
arsitek|
arsitektur|
artikel|
as|engsel
as|sumbu
as|poros
asbak|
asosial|
asosiasi|persatuan
asosiasi|perkumpulan
astrologi|nujum
astronomi|ilmu planet
astronomi|ilmu falak
asuransi|insuransi
asuransi|premium
asuransi|indemnitas
berasuransi|berpremium
berasuransi|berinsuransi
mengasuransikan|menginsuransikan
mengasuransikan|mempremiumkan
mengasuransikan|mengindemnitas
pengasuransian|pemremiuman
pengasuransian|penginsuransian
perasuransian|perpremiuman
perasuransian|perinsuransian
terasuransi|terpremium
terasuransi|terindemnitas
terasuransi|terinsuransi
terasuransikan|terpremiumkan
terasuransikan|terinsuransikan
atret|
Athena|Athens
bak|
bal|
ban|
barikade|
bas|bass
baskom|
baterai|
batere|
baterei|
baut|tukang pukul
bêdindê|
begroting|
belek|
Belgia|Belgium
blek|
blok|kubu
blok|balok
blokade|pengepungan
behel|
bek|kepala desa
bek|kades
beken|terkenal
kebekenan|keterkenalan
bekleding|
bel|lonceng
belasting|
beleid|
béngkél|
berurte|
beslit|
bêstèl|
bestir|
bêsèt|
besukan|kunjungan
besuk|kunjung
besuk|datang
membesuk|mengunjungi
membesuk|mengunjung
membesuk|mendatangi
pembesuk|pengunjung
pembesuk|pendatang
BH|
beha|
biner|basis dua
binen|mapan
binen|telah berhasil
binen|berhasil
bioskop|sinema
bioskop|panggung film
bioskop|cinema
bistik|
bis|bus
bis|pelisir
boa|
bon|struk
bordil|cakela
bordil|rumah pelacuran
bordil|rumah pelacur
boreh|agunan
boreh|jaminan
boreh|penanggung
boreh|penjamin
boomzaken|
boorwater|
bos|bungkus
bos|dus
brankas|
brangkas|
branwir|pemadam kebakaran
branwir|pemadam
branwir|bomba
Britania|Inggris
bruder|biarawan
bruder|saudara laki-laki
Brussel|Brussels
bruto|kasar
bui|penjara
bui|kurungan
bui|pelampung
buket|karangan bunga
buku|kitab
buku|pustaka
buku harian|diari
bulevar|boulevard
bulevar|adimarga
buncis|
bundel|simpul
bundel|berkas
bundel|bendel
bundel|buhul
bundelan|ikatan
bundelan|simpulan
membundel|mengikat
membundel|menyimpul
pembundelan|pengikatan
pembundelan|penyimpulan
butik|
cako|
cokelat|
cultuurstelsel|
curatele|
dadah|selamat tinggal
dadah|sampai ketemu
dading|di luar pengadilan
dading|di luar peradilan
dading|diluar pengadilan
dading|diluar peradilan
dak|
dam|tanggul
dam|bendungan
dam|checkers
dam|checker
dasi|
debat|
Den Haag|The Hague
dek|geladak kapal
dekret|surat keputusan
dekret|dekrit
dekret|keputusan
depresi|kemurungan
demokratis|demokratik
departemen|
derap|pacu
derap|suara langkah
derap|langkah
derap|laju gerak
Desember|
desimal|persepuluhan
desimal|perpuluhan
devosi|kebaktian
devosi|kesetiaan
dinas|jawatan
dinas|pemerintah
berdinas|bertugas
berdinas|bekerja
kedinasan|pekerjaan
mendinaskan|mengerjakan
dinas|kerja
dinas|tugas
direktur|sutradara
direktur|pengarah
diskusi|pembicaraan
diskusi|perbincangan
dok|limbung
dok|dermaga
dokter|
dom|katedral
dom|basilika
dom|basilica
dorslah|tindasan
dorslah|duplikat
dorslah|plagiat
dorslah|salinan
dorslah|kopian
dorslah|copyan
dosis|
duit|uang logam
duit|uang
duit|mata uang
duit|wang
duk|pembalut
dus|kardus
dus|demikian
dus|boks
dus|jadinya
dus|shower
efektivitas|keampuhan
efektivitas|keefektifan
efektivitas|keberkesanan
egois|
eksekusi|penghukuman mati
eksekusi|hukuman mati
email|enamel
emat|skakmat
emat|ukuran
ember|wadah air
ember|baskom
ember|beledi
ember|boncong
ember|gentung
ember|jambangan
ember|bucket
éngsél|
Eropa|
erosi|pengikisan
erosi|hakisan
evakuasi|pengungsian
evakuasi|pemindahan
evakuasi|penilaian
fakulteit|fakultas
faktur|
fantastis|
Februari|
federasi|serikat
federasi|persekutuan
finansial|keuangan
formulir|form
formulir|borang
fraksi|faksi
fraksi|puak
frambus|raspberry
frambus|rasberi
frambus|frambosen
gaji|
gang|
garansi|jaminan
gardu|
gerilya|
gorden|tirai
evangeli|injil
got|selokan
got|parit
gratis|cuma-cuma
gratis|cecuma
grup|kelompok
grup|perkumpulan
grup|kumpulan
grup|perhimpunan
grup|himpunan
gubernur|
halo|
handschoen|sarung tangan
handschoen|
handuk|towel
handuk|tuala
hanger|
halte bus|pemberhentian bus
helm|
hem|kemeja
hem|porfirin
hem|hmm
hem|hm
hipotek|gadai
hipotek|pegadaian
Hongaria|Hungaria
ide|
identik|
ilusi|
imun|
impoten|lemah syahwat
indehoy|
indekos|memondok
Indo|
infanteri|
informasi|penerangan
informasi|maklumat
insinyur|
institut|
intim|
Januari|
jas|coat
jendral|jeneral
Juli|
Juni|
jus|
berkabel|
kabel|
kekaisaran|kerajaan
kaisar|maharaja
kaisar|emperor
kaisar|raja
kakus|
kalem|
kalkun|turki
kalkun|ayam
kamar|ruang
Kamerun|Cameroon
kamp|
kampanye|
kanker|cancer
kanker|barah
kanker|tumor ganas
kantor|
karakter|
karcis|tiket
kardinal|
kartu|kad
kas|tunai
kas|kes
kas|peti
kasir|juru uang
kasir|teller
kasir|cashier
kastanye|
kata kerja|verba
katun|benang kapas
kaus|sarung
kaus|pakaian
kaus|baju
kavaleri|
kebun binatang|taman margasatwa
kekaisaran|imperium
kekaisaran|empire
kelar|selesai
kelar|siap
kelas|
kelinci|arnab
kelinci|kuilu
kelinci|terwelu
keran|
kerkop|kuburan gereja
kerkop|kuburan
pengekiran|pemeriksaan
pengekir|pemeriksaan
mengekirkan|memeriksakan
mengekirkan|memperiksakan
mengekir|memeriksa
mengekir|memperiksa
kir|periksa
knalpot|exhaust
knalpot|ekzos
Koeln|Cologne
kol|
kolega|
komandan|
komentar|ulasan
komentar|komen
komersil|
komisaris|komisioner
kompas|
komuni|(smthsmth nasrani)
kondensasi|pengembunan
kondensasi|pengeluapan
kondensasi|pencairan
kondisi|
konferensi|persidangan
konferensi|sidang
kongres|
konstitusi|perlembagaan
konstitusi|undang-undang dasar
konstruksi|pembangunan
konstruksi|pembinaan
konsumsi|pemakaian
konsumsi|penggunaan
konsumsi|perbelanjaan
konklusi|kesimpulan
konversi|perubahan
konversi|pengubahan
kop|kepala
kop|judul
kop|kepala gagang telepon
kop|mangkuk
kop|cawan
kopi|
kopling|
koper|kopor
koor|paduan suara
koor|ansambel suara
koor|choir
koran|surat khabar
koran|surat kabar
korporasi|badan usaha
korporasi|perbadanan
korporasi|perusahaan
korsleting|
korting|diskon
korting|rabat
korting|potongan harga
korup|
korupsi|rasuah
Kosta Rika|Costa Rica
kredo|syahadat
kredo|creed
kristal|hablur
kuitansi|resip
kuitansi|resi
kuitansi|bukti pembayaran
kuitansi|kwitansi
kuitansi|kwetansi
kuitansi|receipt
kuitansi|invois
kuitansi|invoice
kuitansi|surat tagihan
kulkas|lemari pendingin
kulkas|lemari es
kulkas|coolbox
kulkas|cool box
kulkas|peti sejuk
kursus|
kusén|
laci|
langsam|pelan-pelan
langsam|pelan
langsam|lelet
langsam|lamban
lanskap|
lampu|pelita
Libanon|Lebanon
Libanon|Lubnan
lid|anggota
lid|
limun|
Lisabon|Lisbon
Lisabon|Lisboa
lisensi|izin
lisensi|ijin
lisensi|license
lisensi|licence
lisensi|lesen
listrik|
loket|konter
Luksemburg|Luxembourg
Luksemburg|Luxemburg
lusin|dozen
lusin|losin
lusin|dosin
lusin|dua belas buah
lusin|12 buah
makelar|
mantel|
Maret|
maskapai|
massa|
matras|tempat tidur
matras|kasur
matras|ranjang
matras|katil
matros|kelasi
matros|menteros
mebel|perabotan rumah tangga
mebel|perabot rumah tangga
mebel|furnitur
mebel|perkakas rumah
media massa|
Mei|
meises|
merek|
mes|hall
mes|barak
mes|pupuk buatan
mes|pupuk
meses|
mesin|
meter|ibu pembaptis
meter|ibu baptis
meter|ibu permandian
meteran|pengukur
migrasi|
miliar|biliun
miliar|billiun
militer|tentara
kemiliteran|ketentaraan
minder|
misi|
mobil|
monarki|kerajaan
monarki|kesultanan
monarki|kekaisaran
montir|
motor|
mur|
nanas|
nomer|angka
nol|
November|
Oktober|
oli|minyak pelumas
oli|minyak
oli|pelumas
om|paman
om|uwa
om|pakcik
om|pakde
om|paklik
om|uwa
om|uwak
oma|
omzet|
onderdil|
ongkos|
opa|
opsir|perwira
opsir|officer
oranye|jingga
orde|ordo
orde|jemaat
orde|jamaat
orde|jamaah
orde|sistem
orde|peraturan
orde|susunan
orde|angkutan
orgel|
otomatis|
pabrik|kilang
pal|tonggak batu
pal|tonggak
pal|milestone
panci|pot
panci|wajan
panci|kuali
panci|pan
panci|sangan
panci|tabak
panci|belanga
parfum|minyak wangi
parfum|haruman
parkir|
parlemen|dewan perwakilan rakyat
parlemen|parlimen
parlemen|parliament
parlemen|dpr
paroki|
partai|parti
pas|izin
pas|cukup
pas|senonoh
pas|layak
pas|fit
paspor|
pastor|pendeta
pastor|padri
patroli|ronda
paviliun|
pelopor|
pek|ter
pek|aspal
pek|belangkin
pénsil|
pensiun|
per|pegas
per|bohlam
per|bola lampu listrik
per|lampu busur
per|tiap
per|dengan
perboden|
permak|
permisi|
peron|platform
pers|
persik|
persis|
persneling|gearbox
persneling|kotak gigi
persneling|transmisi
persneling|girboks
personil|staf
personil|pegawai
personil|kaki tangan
personil|kakitangan
plafon|
pol|penuh
pol|maksimal
pol|maksimum
polisi|police
potlot|
potret|
preman|geng
preman|gangster
preman|samseng
prestasi|
prinsip|
produk|hasil
produk|keluaran
protokol|
provinsi|wilayah
provinsi|daerah
provinsi|propinsi
proyek|
rad|dewan
rad|majelis
ransel|tas sandang
redaksi|editorial
redaktur|editor
redaktur|penyunting
reken|hitung
mereken|berhitung
mereken|menghitung
rekenan|hitungan
rekening|
reklame|iklan
rem|
rentenir|
resep|recipe
resep|preskripsi
meresep|mempreskripsi
peresepan|perpreskripsian
resleting|zipper
resleting|zip
resiko|
rim|500 lembar
rim|lima ratus lembar
rim|ikat pinggang kulit
rim|ikat pinggang
rim|sabuk kulit
rim|sabuk
rok|
rokok|
rol|peran
rol|gulungan
rol|gulung
sadel|jok
sakelar|
sakelek|lugas
sakelek|to the point
sakristi|(katolik?)
saku|kantong
saku|kantung
bersaku|berkantong
bersaku|berkantung
menyakukan|mengantongkan
menyakukan|mengantongi
menyakukan|mengantungkan
menyakukan|mengantungi
saldo|
satelit|
saus|saos
saus|bumbu
segel|tera
segel|cap
segel|meterai
segel|surat kecil
bersegel|bercap
bersegel|bertera
bersegel|bermeterai
penyegel|pengecap
penyegel|penera
penyegel|pematerai
menyegel|mengecap
menyegel|menera
menyegel|mentera
penyegelan|pengecapan
penyegelan|peneraan
sekip|lapangan tembak
sekop|shovel
sekop|alat penggali
sekop|penggali
sekop|singkup
sekop|cangkul
sekop|beliung
sekop|tugal
sekrup|
seks|
sel|
slang|hose
slang|selang
smokel|smuggling
smokel|penyelundupan
smokel|contraband
mensmokel|menyelundup
sempak|
senewen|
September|
sepur|
serius|
sertifikat|
sesi|session
setel|set
setel|koleksi
setom|uap
setom|setum
setrika|
setrum|listrik
setrum|kelistrikan
setrum|sambar
setrum|samber
kesetrum|kesambar
kesetrum|kesamber
menyetrum|menyambar
menyetrum|menyamber
penyetruman|penyambaran
penyetruman|penyamberan
tersetrum|tersambar
tersetrum|tersamber
sinterklas|
sipir|warden
sipir|penjaga penjara
sirkulasi|
solusi|
spanduk|banner
stadiun|stadion
stadiun|stadium
standar|
stasiun|
stok|setok
stok|persediaan
stok|sediaan
stopkontak|
struktur|
sun|cium
mengesun|ciuman
suster|biarawati
suster|juru rawat wanita
suster|perawat
suster|ners
tabernakel|
tang|penjepit
tante|bibi
tas|bag
tégel|
teh|
teken|tanda tangan
teken|menandatangani
teknologi|
telat|
telefon|
televisi|
tema|
terompet|
teori|
tinta|dawat
tomat|
topik|
toren|
traktir|
triliun|trilyun
triliun|trilion
trotoar|jalan pinggir
trotoar|laluan jalan kaki
trotoar|kaki lima
trotoar|tepi jalan
tustel|
universiteit|universitas
variabel|
vas|
velg|pelg
Venesia|Venice
versi|
visi|
voorijder|
vulkan|
wastafel|basin
Wina|Vienna
wol|
wolanda|belanda
wortel|lobak merah
wortel|bortel
Yordania|Jordania
Yordania|Jordan
yuridis|
yustisi|
zending|mission
zending|misi