ablaut|apophony|ablaut|apophony||&#91;1&#93;
an sich|by itself, per se|an sich|by itself, per se|possible a Dutch loanword.|&#91;1&#93;
auf wiedersehen|good bye|auf wiedersehen|good bye|lit. until we meet again|&#91;1&#93;
Aufklärung|Enlightenment|Aufklärung|Enlightenment|The Enlightenment was an intellectual and philosophical movement which dominated the world of ideas in Europe during the 18th century.|&#91;1&#93;
Ausdauer|endurance|Ausdauer|constancy, endurance, perseverance, persistence, stamina||&#91;1&#93;
Autobahn|Autobahn, freeway|Autobahn|Autobahn, freeway||&#91;1&#93;
Blitzkrieg|Blitzkrieg, a World War II German military tactics|Blitzkrieg|Blitzkrieg||&#91;1&#93;
das Sein|existence|das Sein|existence||&#91;1&#93;
das Sollen|to be intended|das Sollen|should|Sollen expresses moral duty or the suggestion that something ought to be done.|&#91;1&#93;
Deutschland über alles|Germany above all else|Deutschland über alles|Germany above all else||&#91;1&#93;
Dichtung und Wahrheit|Poetry and Truth|Dichtung und Wahrheit|Poetry and Truth||&#91;1&#93;
Eisen und Blut|Blood and Iron|Eisen und Blut|Blood and Iron||&#91;1&#93;
entweder oder|choice|entweder oder|choice|Used only in the pair "entweder ... oder", like either-or in English|&#91;1&#93;
eforus|leader of Batak Christian Protestant Church|Ephorus|superintendent, metropolitan||&#91;1&#93;
firn|firn|firn|firn||&#91;1&#93;
Föhn|Foehn wind|Föhn|Foehn wind|Föhn or foehn is a type of dry, warm, down-slope wind that occurs in the lee (downwind side) of a mountain range.|&#91;1&#93;
Führer|Führer, leader|Führer|Führer, leader||&#91;1&#93;
Geheime Staatspolizei|Geheime Staatspolizei|Geheime Staatspolizei|Geheime Staatspolizei|The Gestapo, abbreviation of Geheime Staatspolizei, or the Secret State Police, was the official secret police of Nazi Germany and German-occupied Europe.|&#91;1&#93;
Gestalt|A collection of physical, biological, psychological or symbolic elements that creates a whole, unified concept or pattern which is other than the sum of its parts, due to the relationships between the parts (of a character, personality, entity, or being)|Gestalt|1. shape, form, 2. image of some person, figure, character (person)||&#91;1&#93;
hineininterpretierung|subjective interpretation|hineininterpretierung|subjective interpretation||
Hitler-Jugend|Hitler Youth|Hitler-Jugend|Hitler Youth||&#91;1&#93;
Kulturkampf|Kulturkampf|Kulturkampf|Kulturkampf|Kulturkampf (literally "culture struggle") refers to power struggles between emerging constitutional and democratic nation states and the Roman Catholic Church over the place and role of religion in modern polity, usually in connection with secularization campaigns.|&#91;1&#93;
Lebensraum|1. living space, habitat 2. lebensraum|Lebensraum|1. living space, habitat 2. lebensraum||&#91;1&#93;
nazi|Nazi Party|nazi|Nazi Party||&#91;1&#93;
orpo|Ordnungspolizei|Order Police|Ordnungspolizei|uniformed police force in Nazi Germany between 1936 and 1945.|&#91;1&#93;
opelet|A sedan car whose seating arrangement is changed and adjusted as a public vehicle|Opel|Opel||&#91;1&#93;
realpolitik|realpolitik|realpolitik|realpolitik||&#91;1&#93;
Schutzstaffel|Schutzstaffel|Schutzstaffel|Schutzstaffel||&#91;1&#93;
Sitzkrieg|Phoney War, warfare without progress, a stalemate|Sitzkrieg|Phoney War, warfare without progress, a stalemate||&#91;1&#93;
snorkel|1. snorkel (swimming gear, breathing tube) 2. submarine snorkel, snort|Schnorchel|1. snorkel (swimming gear, breathing tube) 2. submarine snorkel, snort||&#91;1&#93;
Sturm und Drang|Sturm und Drang|Sturm und Drang|Sturm und Drang||&#91;1&#93;
überhaupt|at all; anyway; in the first place|überhaupt|at all; anyway; actually; even||
Übermensch|Übermensch|Übermensch|Übermensch|1. (in Nietzschean philosophy) An overman (“higher” man) who has overcome (transcended) his (mere) humanity. 2. (Nazism ideology) A member of the proposed Aryan super race.|&#91;1&#93;
umlaut|diaeresis (diacritic)|umlaut|diaeresis (diacritic)||&#91;1&#93;
vopo|police|VoPo|volkspolizei|Deutsche Volkspolizei (German People's Police)|&#91;1&#93;
Zeitgeist|spirit of the age|Zeitgeist|spirit of the age||