abaimana|anus, genital|अपमान्य|apamānya|disreputable, dishonourable|
acar|pickles|अचार|achaar|pickles|
antari|cloth|अंतरीय|antarīya|under garment|
gari|handcuffs|हाथकड़ी|hath-kaṛī|hand+link|
argari|handcuffs|हाथकड़ी|hath-kaṛī|hand+link|
ayah|father|आया|āyā|ayah, nanny|
bahadur|brave|बहादुर|
bahana|1. loud sound (n.), 2. great, bright (adj.)|भनक; हनना|bhanak; hannā|a low or distant sound, hum, buzz, ring; to speak, to break silence|
bakdul|rein|बागडोर|bāgḍor|rein|
banglo|perforated crates to keep the fish in the dam area||banglā||
bangsal|ward, shed, public building|भनसाल|bhansāl|storehouse, magazine, granary|see भण्डसाल (bhanḍsāl) &lt; भण्डसार (bhaṇḍasāra) storehouse, magazine, granary
barua|procuress||bhaṛuā||
basi|stale, spoilt|बासी|bāsī|stale, rancid|
bel|bell||bel||
belati|dagger|विलायती|vilāyatī|foreign|
bendahari|female trasurer|भंडारी|bhaṇḍārī|store keeper|
bendari|female trasurer|भंडारी|bhaṇḍārī|store keeper|
bendi|two-wheeled cart||bhinḍī||
benian||बनियान|baniyān|under garment, vest|
beta|I (first-person pronoun) (classical, Moluccas)|बेटा|beṭā|son|
beti|proof||beṭī||
bibi|aunt||bī||
cacar|pox (disease)|चेचक|cecak|pox (disease)|
cakela|brothel, whorehouse (archaic)|चकला|caklā|brothel, whorehouse|
candu|opium|चण्डू|caṇḍū|opium|from Sanskrit चण्ड+उकः
cap|stamp|?छापा|chāpṭhappā|?stamp|
capal|leather sandal|चप्पल|cappal|slipper|
celana|pants, trousers|चोलना|ćolnā|short breeches, reaching half-way down the thighs|
cempa|||campā||
ceri|cherry (Muntingia calabura)||curī||
ceteri|tent (in boat) (arch.)|छत्री|ćhatrī|covering, canopy|Sanskrit tadbhava word छत्रिका
cindai|flowery silk||cunrī||
coli|(arch.)||colī||
culim|smoking pipe|चिलम|cilam|smoking pipe|see also chillum
cura|funny||churā||
curi|steal|चूरीचोरी|ćūrīcorī|steal|
cuti|leave|छुट्टी|chuṭṭī|leave|
dal|bean|दाल|dāl|dried, split pulses|see dal.
dam|check (pattern)|दाम|dām|net, snare|
dandi|a kind of musical instrument|डोंडी|ḍoṅḍī|small kettle-drum|Sanskrit tadbahva दुन्दुभी
dera|lash||durrā|to whip|
dian|small lamp|दिया|dīyā|light, lamp, lantern|
dobi|laundry worker|धोबी|dhobī|laundry worker (male)|
dol|1. Indian drum|ढोल|ḍhol|dhol|
dol|2. mast|डोल|ḍol|mast|probably from Arabic دلو (dalw)
duhai|an interjection word|दुहाई|duhāī|cry for help|
duli|dust; foot; honorary word for official, nobility, or king|डोली|ḍolī|a kind of sedan|see also paduka.
dura|far|दूर|dūr|far|
gajus|cashew (Anacardium occidentale)|दूर|kājū|cashew (Anacardium occidentale)|possibly from Tupian acajú through Portuguese caju
gala-gala|small bee||gūgal||
ganda|small bee||gāna||
ganja|Cannabis sativa|गांझा|gāṅjhā|Cannabis sativa|probably from Sanskrit गृञ्ज+कः, or गृञ्जनकः
gap|1. sound of slapping on a table. 2 sound of heartbeat.||gap|the sound made by a blow, or in swallowing|
garam|salt|गरम|garam|hot, warm|
geleca|cake (arch.)||gālīcā||
guli|marbles|गोली|golī|ball|from Sanskrit गोल+इका
gusar|angry||g̠uṣṣa|choking, anger|from Arabic غصة, from. غصّ 'to be choked'