akta|act (law)|acta (Dutch: akte)
algojo|executioner|algoz
armada|fleet|armada
bangku|chair|banco: bench (Dutch: bank)
baret|barrette|barrete
batako|brick|pataco
Belanda|Dutch, Holland|Holanda
bendera|flag|bandeira
beranda|verandah, porch|varanda
biola|violin|viola
bola|ball|bola
bolu|(a type of) cake|bolo
boneka|doll|boneca
cerutu|cigar|charuto
dansa|dance (not including traditional dance)|dança
dadu|dice|dado
gagu|mute|gago: stutterer, stuttering
ganco|hook|gancho
garpu|fork|garfo
gereja|church|igreja
jendela|window|janela
Jepang|Japan|Japão
kaldu|broth|caldo
kanal|channel|canal (Dutch: kanaal)
keju|cheese|queijo
kemeja|shirt|camisa
kereta|chariot/cart|carreta
kertas|paper|cartas (papel)
kredo|creed|credo
lelang|auction|leilão
lemari|closet|armário
meja|table|mesa
mentega|butter|manteiga
Minggu|Sunday|domingo
misa|mass|missa
mitos|myth|mitos
nanas|pineapple|ananas
natal|Christmas|natal
noda|stain|nodoa
nona|young woman|dona
palsu|fake, false|falso
pasta|paste|pasta
perahu|boat|proa: bow
pesiar|cruise, excursion|passear
pesta|party|festa
pigura/figura|picture, figure|figura
pita|ribbon|fita
pompa|pump|bomba hidráulica, (Dutch: pomp)
roda|wheel|roda
Sabtu|Saturday|sabado
sabun|soap|sabão
saku|pocket, bag|saco (Dutch: zak)
santo|saint|santo
santa|saint|santo
sekolah|school|escola (Latin: schola)
sepatu|shoe|sapato
serdadu|soldier|soldado
tempo|time|tempo
tenda|tent|tenda
terigu|wheat|trigo
tinta|ink|tinta
tolol|fool|tolo
tukar|exchange|trocar