adios|good bye, farewell|adiós |good bye, farewell||
bonanza|wealth, good fortune, or profits source|bonanza|fair weather, prosperity||
cedilla|cedilla|cedilla|cedilla||
dona||doña|title of respect for a woman|Not available in isolated form in Indonesian. Compound words with -dona in Indonesian are madona and primadona.|
entrenador|trainer, coach|entrenador|trainer, coach||
fandango|fandango|fandango |fandango|Fandango is a lively couples dance from Spain, usually in triple metre, traditionally accompanied by guitars, castanets, or hand-clapping.|
hailai|jai alai|jai alai|jai alai|lit. happy party|
havana|Cuban cigar|habana|Habanos, producer Cuban cigars|lit. (something) from Havana|
kamisa|shirt|camisa|shirt|see also kemeja, from Portuguese|
matador|bullfighter|matador|killer|Based on English usage, matador used in the English language as title for a bullfighter, which come from shortening of matador de toros (lit. "killer of bulls").|
mestizo|mestizo|mestizo|mestizo|Mestizo is a person of combined European and Amerindian or Pacific Islander descent.|
misa|mass|misa|mass||
perlente|elegant|parlante|talking||
plaza|1. plaza, town square 2. shopping mall with parking lot|plaza|plaza||
ponco|poncho|poncho|poncho|originally loan word from Quechua punchu|
sombrero|sombrero|sombrero|hat||