aci|tapioca flour|aci sampeu
amburadul|mess, something out of order|amburadul
anjangsana|high official visiting|anjangsana
balairung|hall|bale riung: traditional building for meeting
becek|puddle|becek
berabe|annoying, nuisance|barabe
bloon|stupid|blo'on/o'on
cocopet|earwig|cocopet
getol|active|getol
hatur|to express, to send (polite)|haturkeun
jangkung|tall|jangkung
juara|champion, winner|jawara: tough guy, fighter, hero
kedap|proof as in "kedap air" (waterproof)|kedap
kesima|awe, amaze|kesima
kesohor|famous|kasohor
kolot|old fashioned|kolot: old
lalap|raw vegetable, consumed|lalab
majikan|boss|majikan
menyaru|pretending, camouflaging|verbal form of saru: undistinguishable
patungan|chip in, joint-venture, collecting money to buy something for common use|patungan
pemulung|waste picker|noun of the verb pulung: pick
pengaruh|influence|pangaruh
pepes|cooking method using banana leaf wrapping|papais: plural form of pais
risih|uneasy, uncomfortable|risih
siksa|torture|siksa: education
songong|no self-awareness|songong
uwa|uncle or aunty older than parent|uwa